id,name,slug
car_brands.id_1,Abarth,abarth
car_brands.id_2,Alfa Romeo,alfa-romeo
car_brands.id_3,Aro,aro
car_brands.id_4,Asia,asia
car_brands.id_5,Asia Motors,asia-motors
car_brands.id_6,Aston Martin,aston-martin
car_brands.id_7,Audi,audi
car_brands.id_8,Austin,austin
car_brands.id_9,Auverland,auverland
car_brands.id_10,Bentley,bentley
car_brands.id_11,Bertone,bertone
car_brands.id_12,Bmw,bmw
car_brands.id_13,Cadillac,cadillac
car_brands.id_14,Chevrolet,chevrolet
car_brands.id_15,Chrysler,chrysler
car_brands.id_16,Citroen,citroen
car_brands.id_17,Corvette,corvette
car_brands.id_18,Dacia,dacia
car_brands.id_19,Daewoo,daewoo
car_brands.id_20,Daf,daf
car_brands.id_21,Daihatsu,daihatsu
car_brands.id_22,Daimler,daimler
car_brands.id_23,Dodge,dodge
car_brands.id_24,Ferrari,ferrari
car_brands.id_25,Fiat,fiat
car_brands.id_26,Ford,ford
car_brands.id_27,Galloper,galloper
car_brands.id_28,Gmc,gmc
car_brands.id_29,Honda,honda
car_brands.id_30,Hummer,hummer
car_brands.id_31,Hyundai,hyundai
car_brands.id_32,Infiniti,infiniti
car_brands.id_33,Innocenti,innocenti
car_brands.id_34,Isuzu,isuzu
car_brands.id_35,Iveco,iveco
car_brands.id_36,Iveco-pegaso,iveco-pegaso
car_brands.id_37,Jaguar,jaguar
car_brands.id_38,Jeep,jeep
car_brands.id_39,Kia,kia
car_brands.id_40,Lada,lada
car_brands.id_41,Lamborghini,lamborghini
car_brands.id_42,Lancia,lancia
car_brands.id_43,Land-rover,land-rover
car_brands.id_44,Ldv,ldv
car_brands.id_45,Lexus,lexus
car_brands.id_46,Lotus,lotus
car_brands.id_47,Mahindra,mahindra
car_brands.id_48,Maserati,maserati
car_brands.id_49,Maybach,maybach
car_brands.id_50,Mazda,mazda
car_brands.id_51,Mercedes-benz,mercedes-benz
car_brands.id_52,Mg,mg
car_brands.id_53,Mini,mini
car_brands.id_54,Mitsubishi,mitsubishi
car_brands.id_55,Morgan,morgan
car_brands.id_56,Nissan,nissan
car_brands.id_57,Opel,opel
car_brands.id_58,Peugeot,peugeot
car_brands.id_59,Pontiac,pontiac
car_brands.id_60,Porsche,porsche
car_brands.id_61,Renault,renault
car_brands.id_62,Rolls-royce,rolls-royce
car_brands.id_63,Rover,rover
car_brands.id_64,Saab,saab
car_brands.id_65,Santana,santana
car_brands.id_66,Seat,seat
car_brands.id_67,Skoda,skoda
car_brands.id_68,Smart,smart
car_brands.id_69,Ssangyong,ssangyong
car_brands.id_70,Subaru,subaru
car_brands.id_71,Suzuki,suzuki
car_brands.id_72,Talbot,talbot
car_brands.id_73,Tata,tata
car_brands.id_74,Toyota,toyota
car_brands.id_75,Umm,umm
car_brands.id_76,Vaz,vaz
car_brands.id_77,Volkswagen,volkswagen
car_brands.id_78,Volvo,volvo
car_brands.id_79,Wartburg,wartburg